binary_sha256,chunk,command,comparison_policy,configuration,git_dirty,git_revision,invocation,max_abs,mean_kl,mean_nll,model_sha256,nll_delta,reference_mean_nll,rmse,scored_targets,threads,tokens,tokens_sha256,tolerance_failures,top1_changes
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,127,chunks,descriptive_q8_no_threshold,w8a8_fp32,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""f32"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",1.79254150391,0.0017415681997,1.06218193853,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00182557918342,1.06035635935,0.323244655756,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15315447,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,127,mixed_reset,descriptive_q8_no_threshold,w8a8_fp32,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""f32"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.00712871552,0.00187529071578,1.06304908918,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00269272983011,1.06035635935,0.324653882026,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15314649,4
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,128,chunks,descriptive_q8_no_threshold,w8a8_fp32,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""f32"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.15110492706,0.0017167417267,1.06212988078,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00177352142595,1.06035635935,0.335947631359,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15314925,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,128,mixed_reset,descriptive_q8_no_threshold,w8a8_fp32,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""f32"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.11574459076,0.00187391659287,1.06306937964,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00271302029508,1.06035635935,0.32442341798,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15313299,4
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,129,chunks,descriptive_q8_no_threshold,w8a8_fp32,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""f32"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",1.84472370148,0.00171588566503,1.06220311992,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00184676057188,1.06035635935,0.324132506937,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15315218,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,129,mixed_reset,descriptive_q8_no_threshold,w8a8_fp32,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""f32"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.11574459076,0.00187391659287,1.06306937964,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00271302029508,1.06035635935,0.32442341798,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15313299,4
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,1,chunks,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",,,1.05260381862,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,,,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,,
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,1,mixed_reset,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0,-1.01526024582e-27,1.05260381862,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,0,1.05260381862,0,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,0,0
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,127,chunks,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0.709919929504,5.12801881785e-05,1.05268462519,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,8.08065696479e-05,1.05260381862,0.0932062042579,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15002976,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,127,mixed_reset,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0.523558139801,5.22485606742e-05,1.0516730545,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,-0.000930764121218,1.05260381862,0.0826856124299,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,14485307,0
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,128,chunks,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0.69154882431,4.99321949096e-05,1.05271102656,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,0.000107207944228,1.05260381862,0.0947835760451,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15006005,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,128,mixed_reset,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0.53293466568,5.2291691313e-05,1.05167771373,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,-0.000926104888684,1.05260381862,0.0839652991256,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,14487365,0
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,129,chunks,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0.642746448517,5.08506204927e-05,1.05259628208,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,-7.53654089977e-06,1.05260381862,0.0889170958057,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15002147,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,129,mixed_reset,descriptive_q8_no_threshold,fp32_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0.539786815643,5.2380313914e-05,1.05167784439,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,-0.000925974228741,1.05260381862,0.0841847636063,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,14488166,0
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,1,chunks,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",,,1.05938788399,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,,,,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,,
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,1,mixed_reset,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",0,-2.72565685247e-27,1.05938788399,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0,1.05938788399,0,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,0,0
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,127,chunks,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.59755420685,0.00212582503332,1.06390742522,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00451954122713,1.05938788399,0.399041598339,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15319350,4
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,127,mixed_reset,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.27719092369,0.00217124166002,1.06249938639,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00311150239294,1.05938788399,0.382171306029,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15320514,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,128,chunks,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.22098827362,0.00219694230487,1.06530755974,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00591967574196,1.05938788399,0.383057828215,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15317551,4
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,128,mixed_reset,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.27719092369,0.00218996470701,1.06251526157,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00312737757478,1.05938788399,0.380975855907,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15322073,2
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,129,chunks,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.14400029182,0.00220988383146,1.06519387606,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00580599206742,1.05938788399,0.367727528481,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15317374,4
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,129,mixed_reset,descriptive_q8_no_threshold,w8a8_kv8,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""chunks"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin"",""--kv"",""q8"",""--tokens"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/long.tokens"",""--context"",""512"",""--threads"",""1"",""--report-only""]",2.27719092369,0.00218996470701,1.06251526157,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,0.00312737757478,1.05938788399,0.380975855907,314,1,315,9da1f7ccc3bf03b9b09784abb26fccf5c35e46ae57149908becbf0c6091cca93,15322073,2
